isin,nav_date,nav,daily_return,weekly_return,monthly_return,ytd_return,volatility_30,drawdown,moving_average_7,moving_average_30,lag_1,lag_5,lag_20,rolling_mean_7,rolling_mean_30,rolling_std_7,rolling_std_30,calendar_month,calendar_quarter,calendar_year,is_month_end,is_quarter_end
LU0056508442,2025-07-08,102.35,,,,,,,,,,,,,,,,7,3,2025,false,false
LU0056508442,2025-07-09,103.17,0.00801172,,,,,,,,102.35,,,,,,,7,3,2025,false,false
LU0056508442,2025-07-10,102.27,-0.00872347,,,,,,,,103.17,,,102.76,102.76,0.41,0.41,7,3,2025,false,false
LU0056508442,2025-07-11,101.98,-0.00283563,,,,,,,,102.27,,,102.59666667,102.59666667,0.40672131,0.40672131,7,3,2025,false,false
LU0056508442,2025-07-14,101.51,-0.00460875,,,,,,,,101.98,,,102.4425,102.4425,0.44200537,0.44200537,7,3,2025,false,false
LU0056508442,2025-07-15,102.93,0.01398877,,,,,,,,101.51,102.35,,102.256,102.256,0.54352921,0.54352921,7,3,2025,false,false
LU0056508442,2025-07-16,102.32,-0.00592636,,,,,,,,102.93,103.17,,102.36833333,102.36833333,0.55612998,0.55612998,7,3,2025,false,false
LU0056508442,2025-07-17,103.7,0.0134871,,,,,,,,102.32,102.27,,102.36142857,102.36142857,0.51515403,0.51515403,7,3,2025,false,false
LU0056508442,2025-07-18,103.91,0.00202507,,,,,,,,103.7,101.98,,102.55428571,102.52875,0.69580082,0.65435918,7,3,2025,false,false
LU0056508442,2025-07-21,104.34,0.0041382,,,,,,,,103.91,101.51,,102.66,102.68222222,0.82545226,0.75434707,7,3,2025,false,false
LU0056508442,2025-07-22,102.47,-0.01792218,,,,,,,,104.34,102.93,,102.95571429,102.848,0.98762134,0.8714792,7,3,2025,false,false
LU0056508442,2025-07-23,102.69,0.00214697,,,,,,,,102.47,102.32,,103.02571429,102.81363636,0.93177031,0.8379984,7,3,2025,false,false
LU0056508442,2025-07-24,103.98,0.01256208,,,,,,,,102.69,103.7,,103.19428571,102.80333333,0.72641698,0.80304974,7,3,2025,false,false
LU0056508442,2025-07-25,104.28,0.00288517,,,,,,,,103.98,103.91,,103.34428571,102.89384615,0.76380359,0.83282225,7,3,2025,false,false
LU0056508442,2025-07-28,104.77,0.00469889,,,,,,,,104.28,104.34,,103.62428571,102.99285714,0.6929617,0.87834608,7,3,2025,false,false
LU0056508442,2025-07-29,105.43,0.00629951,,,,,,,,104.77,102.47,,103.77714286,103.11133333,0.80220614,0.95737744,7,3,2025,false,false
LU0056508442,2025-07-30,104.84,-0.00559613,,,,,,,,105.43,102.69,,103.99428571,103.25625,0.99203769,1.08365051,7,3,2025,false,false
LU0056508442,2025-07-31,106.42,0.01507058,,,,,,,,104.84,103.98,,104.06571429,103.34941176,1.03157102,1.11538688,7,3,2025,true,false
LU0056508442,2025-08-01,102.71,-0.03486187,,,,,,,,106.42,104.28,,104.63,103.52,1.08340732,1.29216012,8,3,2025,false,false
LU0056508442,2025-08-04,104.77,0.02005647,,,,,,,,102.71,104.77,,104.63285714,103.47736842,1.07830176,1.27063532,8,3,2025,false,false
LU0056508442,2025-08-05,105.31,0.00515415,,,,,,,,104.77,105.43,102.35,104.74571429,103.542,1.04489039,1.27010078,8,3,2025,false,false
LU0056508442,2025-08-06,104.54,-0.00731175,,,,,,,,105.31,104.84,103.17,104.89285714,103.62619048,1.04146482,1.2954149,8,3,2025,false,false
LU0056508442,2025-08-07,106.69,0.02056629,,,,,,,,104.54,106.42,102.27,104.86,103.66772727,1.04842739,1.27986481,8,3,2025,false,false
LU0056508442,2025-08-08,106.0,-0.00646734,,,,,,,,106.69,102.71,101.98,105.04,103.79913043,1.22425488,1.3952432,8,3,2025,false,false
LU0056508442,2025-08-11,106.35,0.00330189,,,,,,,,106.0,104.77,101.51,105.20571429,103.89083333,1.26383608,1.43492426,8,3,2025,false,false
LU0056508442,2025-08-12,105.79,-0.00526563,,,,,,,,106.35,105.31,102.93,105.19571429,103.9892,1.25443052,1.48622722,8,3,2025,false,false
LU0056508442,2025-08-13,107.21,0.01342282,,,,,,,,105.79,104.54,102.32,105.63571429,104.05846154,0.74011306,1.49794652,8,3,2025,false,false
LU0056508442,2025-08-14,106.29,-0.00858129,,,,,,,,107.21,106.69,103.7,105.98428571,104.17518519,0.82051999,1.58586668,8,3,2025,false,false
LU0056508442,2025-08-18,105.65,-0.00602126,,,,,,,,106.29,106.0,103.91,106.12428571,104.25071429,0.77592078,1.60598196,8,3,2025,false,false
LU0056508442,2025-08-19,105.3,-0.00331283,,,,,,,,105.65,106.35,104.34,106.28285714,104.29896552,0.50047732,1.59857123,8,3,2025,false,false
LU0056508442,2025-08-20,101.95,-0.03181387,,,,,,,,105.3,105.79,102.47,106.08428571,104.33233333,0.57040981,1.58194118,8,3,2025,false,false
LU0056508442,2025-08-21,102.45,0.00490436,,,,,,,,101.95,107.21,102.69,105.50571429,104.319,1.55928424,1.60017364,8,3,2025,false,false
LU0056508442,2025-08-22,102.8,0.0034163,,,,,,,,102.45,106.29,103.98,104.94857143,104.295,1.83113102,1.62247085,8,3,2025,false,false
LU0056508442,2025-08-25,104.65,0.01799611,,,,,,,,102.8,105.65,104.28,104.52142857,104.31266667,1.93104286,1.60309478,8,3,2025,false,false
LU0056508442,2025-08-26,104.63,-0.00019111,,,,,,,,104.65,105.3,104.77,104.15571429,104.40166667,1.6015337,1.54415259,8,3,2025,false,false
LU0056508442,2025-08-27,104.59,-0.0003823,,,,,,,,104.63,101.95,105.43,103.91857143,104.50566667,1.37479794,1.44796566,8,3,2025,false,false
LU0056508442,2025-08-28,106.02,0.01367244,,,,,,,,104.59,102.45,104.84,103.76714286,104.561,1.2260822,1.41810519,8,3,2025,false,false
LU0056508442,2025-08-29,105.36,-0.00622524,,,,,,,,106.02,102.8,106.42,103.87,104.68433333,1.37189129,1.37817436,8,3,2025,false,false
LU0056508442,2025-09-01,104.85,-0.00484055,,,,,,,,105.36,104.65,102.71,104.35714286,104.73966667,1.19804262,1.37084763,9,3,2025,false,false
LU0056508442,2025-09-02,103.59,-0.01201717,,,,,,,,104.85,104.63,104.77,104.7,104.771,0.91261007,1.36224166,9,3,2025,false,false
LU0056508442,2025-09-03,104.12,0.00511632,,,,,,,,103.59,104.59,105.31,104.81285714,104.746,0.69312366,1.37672704,9,3,2025,false,false
LU0056508442,2025-09-04,104.67,0.00528237,,,,,,,,104.12,106.02,104.54,104.73714286,104.801,0.73449136,1.31633671,9,3,2025,false,false
LU0056508442,2025-09-05,107.12,0.0234069,,,,,,,,104.67,105.36,106.69,104.74285714,104.867,0.73379083,1.25714531,9,3,2025,false,false
LU0056508442,2025-09-08,108.24,0.01045556,,,,,,,,107.12,104.85,106.0,105.10428571,104.97166667,1.10079007,1.30859997,9,3,2025,false,false
LU0056508442,2025-09-09,108.01,-0.00212491,,,,,,,,108.24,103.59,106.35,105.42142857,105.10366667,1.54791499,1.42657979,9,3,2025,false,false
LU0056508442,2025-09-10,111.22,0.02971947,,,,,,,,108.01,104.12,105.79,105.8,105.21166667,1.79148781,1.5170082,9,3,2025,false,false
LU0056508442,2025-09-11,111.35,0.00116885,,,,,,,,111.22,104.67,107.21,106.71,105.40466667,2.53949376,1.86166902,9,3,2025,false,false
LU0056508442,2025-09-12,110.98,-0.00332286,,,,,,,,111.35,107.12,106.29,107.81857143,105.62166667,2.62776074,2.1415712,9,3,2025,false,false
LU0056508442,2025-09-15,111.79,0.00729861,,,,,,,,110.98,108.24,105.65,108.79857143,105.77366667,2.32772991,2.34500246,9,3,2025,false,false
LU0056508442,2025-09-16,112.19,0.00357814,,,,,,,,111.79,108.01,105.3,109.81571429,106.07633333,1.79641593,2.51019984,9,3,2025,false,false
LU0056508442,2025-09-17,111.45,-0.00659595,,,,,,,,112.19,111.22,101.95,110.54,106.32366667,1.57153246,2.72560878,9,3,2025,false,false
LU0056508442,2025-09-18,112.63,0.01058771,,,,,,,,111.45,111.35,102.45,110.99857143,106.52833333,1.27358245,2.86858511,9,3,2025,false,false
LU0056508442,2025-09-19,113.24,0.00541596,,,,,,,,112.63,110.98,102.8,111.65857143,106.798,0.53916413,3.04389378,9,3,2025,false,false
LU0056508442,2025-09-22,113.55,0.00273755,,,,,,,,113.24,111.79,104.65,111.94714286,107.01633333,0.73295321,3.25584754,9,3,2025,false,false
LU0056508442,2025-09-23,113.89,0.00299428,,,,,,,,113.55,112.19,104.63,112.26142857,107.268,0.86863487,3.45336589,9,3,2025,false,false
LU0056508442,2025-09-24,113.21,-0.00597067,,,,,,,,113.89,111.45,104.59,112.67714286,107.51933333,0.85206831,3.64639176,9,3,2025,false,false
LU0056508442,2025-09-25,111.08,-0.01881459,,,,,,,,113.21,112.63,106.02,112.88,107.76666667,0.78294317,3.77024786,9,3,2025,false,false
LU0056508442,2025-09-26,112.23,0.0103529,,,,,,,,111.08,113.24,105.36,112.72142857,107.89566667,0.99131123,3.81493616,9,3,2025,false,false
LU0056508442,2025-09-29,113.38,0.01024681,,,,,,,,112.23,113.55,104.85,112.83285714,108.09366667,0.87968686,3.88005282,9,3,2025,false,false
LU0056508442,2025-09-30,112.38,-0.0088199,,,,,,,,113.38,113.89,103.59,112.94,108.35133333,0.89401182,3.96495627,9,3,2025,true,true
LU0056508442,2025-10-01,112.41,0.00026695,,,,,,,,112.38,113.21,104.12,112.81714286,108.58733333,0.90338592,3.98695785,10,4,2025,false,false
LU0056508442,2025-10-02,114.28,0.01663553,,,,,,,,112.41,111.08,104.67,112.65428571,108.936,0.85821837,3.84615184,10,4,2025,false,false
LU0056508442,2025-10-03,114.85,0.00498775,,,,,,,,114.28,112.23,107.12,112.71,109.33033333,0.94491118,3.76657093,10,4,2025,false,false
LU0056508442,2025-10-06,115.72,0.0075751,,,,,,,,114.85,113.38,108.24,112.94428571,109.732,1.20684781,3.69049717,10,4,2025,false,false
LU0056508442,2025-10-07,115.63,-0.00077774,,,,,,,,115.72,112.38,108.01,113.60714286,110.101,1.27328276,3.71724661,10,4,2025,false,false
