isin,feature_date,nav,return_1d,return_7d,return_30d,ma_7,ma_30,ma_90,volatility_30,momentum,target_nav_1d,target_nav_30d,target_nav_90d
LU0348825331,2025-07-08,60.7451,,,,,,,,,60.1203,,
LU0348825331,2025-07-09,60.1203,-0.0102856,,,,,,,,60.3923,,
LU0348825331,2025-07-10,60.3923,0.00452426,,,,,,,,60.6029,,
LU0348825331,2025-07-11,60.6029,0.0034872,,,,,,,,61.058,,
LU0348825331,2025-07-14,61.058,0.00750954,,,,,,,,62.0564,,
LU0348825331,2025-07-15,62.0564,0.01635167,0.02158693,,,,,,,62.0551,,
LU0348825331,2025-07-16,62.0551,-0.00002095,0.03218214,,61.0043,,,,,62.233,,
LU0348825331,2025-07-17,62.233,0.00286681,0.03047905,,61.216857,,,,,63.0608,,
LU0348825331,2025-07-18,63.0608,0.01330162,0.04055747,,61.636929,,,,,63.5357,,
LU0348825331,2025-07-21,63.5357,0.00753083,0.04057945,,62.085986,,,,,63.8612,,
LU0348825331,2025-07-22,63.8612,0.0051231,0.02908322,,62.551457,,,,,64.7278,,
LU0348825331,2025-07-23,64.7278,0.01357006,0.04306979,,63.075714,,,,,65.2136,,
LU0348825331,2025-07-24,65.2136,0.00750528,0.0478942,,63.526743,,,,,64.4721,,
LU0348825331,2025-07-25,64.4721,-0.01137033,0.02237999,,63.872029,,,,,64.888,,
LU0348825331,2025-07-28,64.888,0.00645085,0.0212841,,64.251314,,,,,65.118,,
LU0348825331,2025-07-29,65.118,0.00354457,0.01968018,,64.5452,,,,,64.244,,
LU0348825331,2025-07-30,64.244,-0.01342179,-0.00747438,,64.646386,,,,,63.0169,,
LU0348825331,2025-07-31,63.0169,-0.01910062,-0.03368469,,64.525771,,,,,62.3192,,
LU0348825331,2025-08-01,62.3192,-0.01107163,-0.03339274,,64.181686,,,,,62.7853,,
LU0348825331,2025-08-04,62.7853,0.00747924,-0.03240507,,63.834786,,,,,63.6523,,
LU0348825331,2025-08-05,63.6523,0.01380896,-0.02250837,,63.717671,,,,,63.9181,,
LU0348825331,2025-08-06,63.9181,0.00417581,-0.00507285,0.05223467,63.579114,,,,,63.9421,,
LU0348825331,2025-08-07,63.9421,0.00037548,0.01468178,0.06356921,63.411129,,,,,63.6232,,
LU0348825331,2025-08-08,63.6232,-0.00498732,0.02092453,0.05349854,63.322443,,,,,63.8135,,
LU0348825331,2025-08-11,63.8135,0.00299105,0.01637644,0.05297766,63.436243,,,,,63.9994,,
LU0348825331,2025-08-12,63.9994,0.00291318,0.00545306,0.04817387,63.676271,,,,,65.8285,,
LU0348825331,2025-08-13,65.8285,0.02857996,0.02988825,0.06078503,64.111014,,,,,65.9646,,
LU0348825331,2025-08-14,65.9646,0.00206749,0.03163018,0.06300046,64.441343,,,,,66.3336,,
LU0348825331,2025-08-18,66.3336,0.00559391,0.04260081,0.06589109,64.786414,,,,,66.498,,
LU0348825331,2025-08-19,66.498,0.00247838,0.0420679,0.05450613,65.151543,63.4693,,,,66.1896,,
LU0348825331,2025-08-20,66.1896,-0.00463773,0.0342222,0.04177022,65.518171,63.650783,,0.00958142,,66.0519,,
LU0348825331,2025-08-21,66.0519,-0.00208039,0.00339367,0.03430408,65.837943,63.848503,,0.00931419,,66.9123,,
LU0348825331,2025-08-22,66.9123,0.01302612,0.0143668,0.03374902,66.254071,64.065837,,0.00947853,,68.5994,,
LU0348825331,2025-08-25,68.5994,0.0252136,0.03415765,0.05191862,66.649914,64.332387,,0.01025087,,68.1719,,
LU0348825331,2025-08-26,68.1719,-0.00623183,0.02517219,0.05738606,66.965243,64.569517,,0.01039836,,67.2917,,
LU0348825331,2025-08-27,67.2917,-0.01291148,0.01665065,0.03704383,67.102114,64.744027,,0.01054057,,66.834,,
LU0348825331,2025-08-28,66.834,-0.00680173,0.01184069,0.02635216,67.150114,64.903323,,0.01066966,,67.4011,,
LU0348825331,2025-08-29,67.4011,0.0084852,0.00730508,0.04914233,67.323186,65.075593,,0.01072306,,69.1551,,
LU0348825331,2025-09-01,69.1551,0.02602331,0.00810065,0.09740562,67.7665,65.278737,,0.01136544,,68.6993,,
LU0348825331,2025-09-02,68.6993,-0.00659098,0.00773633,0.10237776,68.021786,65.450857,,0.011466,,68.648,,
LU0348825331,2025-09-03,68.648,-0.00074673,0.02015553,0.09337695,68.028729,65.610417,,0.01147261,,67.3127,,
LU0348825331,2025-09-04,67.3127,-0.0194514,0.00716252,0.05750617,67.905986,65.69658,,0.01193052,,68.9376,,
LU0348825331,2025-09-05,68.9376,0.02413958,0.02279636,0.07853018,68.141114,65.820713,,0.01257176,,69.5692,,
LU0348825331,2025-09-08,69.5692,0.00916191,0.00598799,0.08800305,68.531857,65.990617,,0.01238651,,70.2188,,
LU0348825331,2025-09-09,70.2188,0.00933747,0.02211813,0.10366659,68.934386,66.16831,,0.01242707,,70.7284,,
LU0348825331,2025-09-10,70.7284,0.00725732,0.03030533,0.10836108,69.159143,66.355323,,0.01245321,,70.9965,,
LU0348825331,2025-09-11,70.9965,0.00379056,0.05472667,0.10933071,69.487314,66.580407,,0.01208194,,71.8179,,
LU0348825331,2025-09-12,71.8179,0.01156958,0.04178126,0.09098491,69.940157,66.873773,,0.01141303,,71.9268,,
